"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",90,"Spectrogram 1",1,1406.533322,1413.726599,589.6,1381.6,7.1933,-32.74,15.51,"3_Halbstart","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.45956622,55.62212719,"y"
"M1",91,"Spectrogram 1",1,1413.894863,1418.564184,748.9,1593.5,4.6693,-28.46,20.29,"3_Halbpeak","M1_20190823_132007",116.971518,4.743234012,20190823,1320,68.78001138,48.60456,"y"
"M1",92,"Spectrogram 1",1,1418.951442,1421.959157,358.5,900.3,3.0077,-34.14,12.74,"3_Halbend","M1_20190823_132007",116.971518,4.743234012,20190823,1320,62.64791385,51.08373508,"y"
"M1",9,"Spectrogram 1",1,2268.236219,2272.724902,580,1080.8,4.4887,-27.63,23.27,"1_Hfunstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,70.17984601,51.60711039,"y"
"M1",12,"Spectrogram 1",1,2272.769519,2279.566279,580,1526.5,6.7968,-30.15,23.26,"1_Hfuntrill","M1_20190823_140007",116.971518,4.743234012,20190823,1400,67.65044074,49.37711931,"y"
"M1",22,"Spectrogram 1",1,2335.183322,2342.376599,589.6,1381.6,7.1933,-32.85,15.42,"1_Halbstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.39616008,55.62300989,"y"
"M1",23,"Spectrogram 1",1,2342.544863,2347.214184,748.9,1593.5,4.6693,-28.82,20.44,"1_Halbpeak","M1_20190823_140007",116.971518,4.743234012,20190823,1400,68.49690843,48.45822003,"y"
"M1",24,"Spectrogram 1",1,2347.601442,2350.609157,358.5,900.3,3.0077,-34,12.68,"1_Halbend","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.6449351,51.82668571,"y"
"M1",43,"Spectrogram 1",1,2417.705219,2422.193902,580,1080.8,4.4887,-27.53,23.99,"2_Hfunstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,70.32411773,51.4311335,"y"
"M1",46,"Spectrogram 1",1,2422.238519,2429.035279,580,1526.5,6.7968,-30.44,23.51,"2_Hfuntrill","M1_20190823_140007",116.971518,4.743234012,20190823,1400,67.30328202,49.56707832,"y"
"M1",56,"Spectrogram 1",1,2484.652322,2491.845599,589.6,1381.6,7.1933,-32.88,15.13,"2_Halbstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.62042443,54.88466837,"y"
"M1",57,"Spectrogram 1",1,2492.013863,2496.683184,748.9,1593.5,4.6693,-28.79,20.83,"2_Halbpeak","M1_20190823_140007",116.971518,4.743234012,20190823,1400,68.52505282,47.91280659,"y"
"M1",58,"Spectrogram 1",1,2497.070442,2500.078157,358.5,900.3,3.0077,-33.96,13.37,"2_Halbend","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.94659466,50.95028081,"y"
"M1",77,"Spectrogram 1",1,2567.136219,2571.624902,580,1080.8,4.4887,-27.58,23.85,"3_Hfunstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,70.32975746,50.71638031,"y"
"M1",80,"Spectrogram 1",1,2571.669519,2578.466279,580,1526.5,6.7968,-30.33,22.91,"3_Hfuntrill","M1_20190823_140007",116.971518,4.743234012,20190823,1400,67.41427677,49.75173577,"y"
"M1",90,"Spectrogram 1",1,2634.083322,2641.276599,589.6,1381.6,7.1933,-32.88,15.19,"3_Halbstart","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.33406453,55.71439901,"y"
"M1",91,"Spectrogram 1",1,2641.444863,2646.114184,748.9,1593.5,4.6693,-28.89,20.64,"3_Halbpeak","M1_20190823_140007",116.971518,4.743234012,20190823,1400,68.43002292,48.7313681,"y"
"M1",92,"Spectrogram 1",1,2646.501442,2649.509157,358.5,900.3,3.0077,-34.04,13.2,"3_Halbend","M1_20190823_140007",116.971518,4.743234012,20190823,1400,62.7687324,51.34847694,"y"
"M1",9,"Spectrogram 1",1,1122.236219,1126.724902,580,1080.8,4.4887,-28.64,23.57,"1_Hfunstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,69.06228922,51.7431361,"y"
"M1",12,"Spectrogram 1",1,1126.769519,1133.566279,580,1526.5,6.7968,-32.35,22.04,"1_Hfuntrill","M1_20190823_152008",116.971518,4.743234012,20190823,1520,65.05458976,49.84507209,"y"
"M1",22,"Spectrogram 1",1,1189.183322,1196.376599,589.6,1381.6,7.1933,-33.89,14.96,"1_Halbstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,61.55063819,53.8710182,"y"
"M1",23,"Spectrogram 1",1,1196.544863,1201.214184,748.9,1593.5,4.6693,-31.47,18.91,"1_Halbpeak","M1_20190823_152008",116.971518,4.743234012,20190823,1520,65.67361728,49.15395561,"y"
"M1",24,"Spectrogram 1",1,1201.601442,1204.609157,358.5,900.3,3.0077,-34.42,12.52,"1_Halbend","M1_20190823_152008",116.971518,4.743234012,20190823,1520,62.35270451,51.08172228,"y"
"M1",43,"Spectrogram 1",1,1271.705219,1276.193902,580,1080.8,4.4887,-28.6,23.49,"2_Hfunstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,69.14093326,51.35716158,"y"
"M1",46,"Spectrogram 1",1,1276.238519,1283.035279,580,1526.5,6.7968,-32.43,21.89,"2_Hfuntrill","M1_20190823_152008",116.971518,4.743234012,20190823,1520,64.99097776,49.95532776,"y"
"M1",56,"Spectrogram 1",1,1338.652322,1345.845599,589.6,1381.6,7.1933,-33.9,15.74,"2_Halbstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,61.30519097,54.26731764,"y"
"M1",57,"Spectrogram 1",1,1346.013863,1350.683184,748.9,1593.5,4.6693,-31.52,19.5,"2_Halbpeak","M1_20190823_152008",116.971518,4.743234012,20190823,1520,65.6904681,48.35889516,"n"
"M1",58,"Spectrogram 1",1,1351.070442,1354.078157,358.5,900.3,3.0077,-34.09,12.92,"2_Halbend","M1_20190823_152008",116.971518,4.743234012,20190823,1520,62.71238109,51.28333176,"y"
"M1",77,"Spectrogram 1",1,1421.136219,1425.624902,580,1080.8,4.4887,-28.65,22.53,"3_Hfunstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,69.06129541,51.60485682,"y"
"M1",80,"Spectrogram 1",1,1425.669519,1432.466279,580,1526.5,6.7968,-32.44,21.79,"3_Hfuntrill","M1_20190823_152008",116.971518,4.743234012,20190823,1520,65.02071278,49.64724384,"y"
"M1",90,"Spectrogram 1",1,1488.083322,1495.276599,589.6,1381.6,7.1933,-34.03,15.2,"3_Halbstart","M1_20190823_152008",116.971518,4.743234012,20190823,1520,61.20852632,54.11953227,"y"
"M1",91,"Spectrogram 1",1,1495.444863,1500.114184,748.9,1593.5,4.6693,-31.51,18.98,"3_Halbpeak","M1_20190823_152008",116.971518,4.743234012,20190823,1520,65.55443009,48.78402773,"y"
"M1",92,"Spectrogram 1",1,1500.501442,1503.509157,358.5,900.3,3.0077,-34.26,12.7,"3_Halbend","M1_20190823_152008",116.971518,4.743234012,20190823,1520,62.63461413,50.60658699,"y"
"M1",9,"Spectrogram 1",1,2374.436219,2378.924902,580,1080.8,4.4887,-29.9,24.75,"1_Hfunstart","M1_20190824_060003",116.971518,4.743234012,20190824,600,67.66465578,51.44853664,"y"
"M1",12,"Spectrogram 1",1,2378.969519,2385.766279,580,1526.5,6.7968,-30.24,24.55,"1_Hfuntrill","M1_20190824_060003",116.971518,4.743234012,20190824,600,67.65419584,48.55938232,"y"
"M1",22,"Spectrogram 1",1,2441.383322,2448.576599,589.6,1381.6,7.1933,-32.53,16.35,"1_Halbstart","M1_20190824_060003",116.971518,4.743234012,20190824,600,63.33673755,54.88891944,"y"
"M1",23,"Spectrogram 1",1,2448.744863,2453.414184,748.9,1593.5,4.6693,-28.98,21.19,"1_Halbpeak","M1_20190824_060003",116.971518,4.743234012,20190824,600,68.65208827,47.04157968,"y"
"M1",24,"Spectrogram 1",1,2453.801442,2456.809157,358.5,900.3,3.0077,-40.41,12.15,"1_Halbend","M1_20190824_060003",116.971518,4.743234012,20190824,600,54.66986114,49.18135571,"y"
"M1",43,"Spectrogram 1",1,2523.905219,2528.393902,580,1080.8,4.4887,-29.8,24.58,"2_Hfunstart","M1_20190824_060003",116.971518,4.743234012,20190824,600,67.88208592,50.53622359,"y"
